ObjectNo Epoch X-coord Y-coord RA Dec p error_p Theta q error_q u error_u mag error_mag
42.0 0.0 383.5 1821.1 238.46486 12.85623 0.0265 0.00881 6.64631042352 -0.00042 0.00702726831706 0.0265 0.00944330980112 16.75672 0.05826
42.0 5.0 376.7 1814.9 238.46458 12.85662 0.03393 0.01098 0.1222 -0.01505 0.00721 0.03041 0.01172 16.78684 0.04147
42.0 6.0 385.8 1819.9 238.46463 12.85662 0.03342 0.00712 0.0979 -0.02093 0.00532 0.02605 0.00808 16.7392 0.05601
42.0 8.0 372.1 1814.4 238.46464 12.85663 0.03136 0.01059 0.1663 -0.02179 0.00794 0.02256 0.01257 16.73783 0.04152
42.0 9.0 383.0 1813.6 238.46462 12.85665 0.03433 0.00816 0.1514 -0.0297 0.00675 0.01722 0.01136 16.73119 0.06305
42.0 12.0 376.1 1815.6 238.46463 12.85662 0.03362 0.00675 0.148 -0.03263 0.00649 0.0081 0.01012 16.79041 0.0794
42.0 13.0 381.5 1810.6 238.46464 12.85662 0.02406 0.0088 0.1822 -0.01694 0.00646 0.01708 0.01061 16.78206 0.04152
42.0 14.0 377.7 1809.1 238.46484 12.85623 0.02352 0.00669 0.2023 -0.0235 0.00669 0.00106 0.00952 16.7495 0.05459
42.0 15.0 375.4 1811.1 238.46463 12.85664 0.02954 0.01059 0.1267 -0.00457 0.00739 0.02919 0.01065 16.70927 0.06772
42.0 16.0 374.1 1815.1 238.46464 12.85659 0.0328 0.00882 0.1779 -0.02954 0.00775 0.01426 0.01241 16.74177 0.05605
42.0 19.0 380.9 1821.6 238.46482 12.85617 0.0334 0.00977 0.183 -0.02889 0.00826 -0.01675 0.01329 16.78075 0.0679
42.0 20.0 377.9 1816.1 238.46476 12.85631 0.05221 0.01278 0.0897 -0.01983 0.00851 0.04829 0.01336 16.79025 0.08549
42.0 21.0 384.7 1825.1 238.46509 12.85615 0.11485 0.02261 0.0641 0.02517 0.01419 0.11206 0.02295 16.59346 0.07757
42.0 22.0 372.1 1817.4 238.46485 12.85622 0.07325 0.01607 0.0908 -0.03911 0.01109 0.06193 0.01767 16.74651 0.07298
42.0 33.0 386.8 1817.9 238.46473 12.85628 0.06342 0.02091 0.1429 0.03617 0.01508 -0.0521 0.0232 16.77262 0.16425
